facultad,indice,seccion,anio,titulo,primer_autor,autor_correspondencia,autor_uft,doi,en_universo_scopus,eid_scopus,anio_scopus
Facultad de Medicina y Salud,#001,Escuela de Medicina,2025.0,Unraveling the association between obesity and climacteric symptoms: a generalized structural equation modeling approach,"Aedo, Sócrates","Aedo, Sócrates","Aedo, Sócrates",10.1097/gme.0000000000002620,False,,
Facultad de Medicina y Salud,#002,Escuela de Medicina,2025.0,Risk of sarcopenia: A red flag for cognitive decline in postmenopause?,"Vallejo, María S.","Blümel, Juan E.","Aedo, Sócrates",10.1016/j.maturitas.2025.108193,True,2-s2.0-85215067709,2025.0
Facultad de Medicina y Salud,#003,Escuela de Medicina,2025.0,Severe obesity and menopause symptoms are associated with cognitive impairment in postmenopausal women from Latin America,"Blümel, Juan E.","Blümel, Juan E.","Aedo, Sócrates",10.1080/13697137.2025.2491637,True,2-s2.0-105003482174,2025.0
Facultad de Medicina y Salud,#004,Escuela de Medicina,2025.0,"Premorbid school performance trajectories in patients with treatment-resistant schizophrenia prescribed clozapine in the public health system in Chile: a case-control study, 2007–2020",José Conejeros-Pavez,Nicolás Crossley,Alfonso González-Valderrama,10.1017/s0033291725101062,True,2-s2.0-105011399576,2025.0
Facultad de Medicina y Salud,#005,Escuela de Medicina,2025.0,"Human development, inequality, and their associations with brain structure across 29 countries",Vicente Medel,Nicolás Crossley,Alfonso González-Valderrama,10.1192/j.eurpsy.2025.10060,True,2-s2.0-105010933575,2025.0
Facultad de Medicina y Salud,#006,Escuela de Medicina,2025.0,Longitudinal changes in striatocortical connectivity in firstepisode psychosis associated with the emergence of treatment resistance,Angeles Tepper,Nicolás Crossley,Alfonso González-Valderrama; Rubén Nachar,10.1038/s41537-025-00653-7,True,2-s2.0-105013392942,2025.0
Facultad de Medicina y Salud,#007,Escuela de Medicina,2025.0,Cognitive function at first episode in patients subsequently developing treatment-resistant schizophrenia,Juan M. Aguirre,Nicolás Crossley,Alfonso González-Valderrama; Rubén Nachar,10.1016/j.schres.2025.01.017,True,2-s2.0-85216599084,2025.0
Facultad de Medicina y Salud,#008,Escuela de Medicina,2025.0,Challenges in cerebral hemorrhage and liver cirrhosis. Bilateral ventricular shunt as a therapeutic alternative,"Arroyo, Antonio","Arroyo, Antonio","Arroyo, Antonio Ramos, Andrés Reccius, Andrés",10.1016/j.rmclc.2025.04.004,True,2-s2.0-105003572556,2025.0
Facultad de Medicina y Salud,#009,Escuela de Medicina,2025.0,Desafíos en hemorragia cerebral y cirrosis hepática. Derivación ventricular bilateral como alternativa terapéutica. [Challenges in cerebral hemorrhage and liver cirrhosis. Bilateral ventricular shunt as a therapeutic alternative],"Arroyo, Antonio","Arroyo, Antonio","Arroyo, Antonio Ramos, Andrés Reccius, Andrés",10.1016/j.rmclc.2025.04.004,True,2-s2.0-105003572556,2025.0
Facultad de Medicina y Salud,#010,Escuela de Medicina,2025.0,Síndrome de hipotensión intracraneal en paciente neurocrítico: reporte de caso,"Arroyo, Antonio","Arroyo, Antonio","Arroyo, Antonio Reccius, Andrés",10.1016/j.rmclc.2025.04.002,True,2-s2.0-105003736290,2025.0
Facultad de Medicina y Salud,#011,Escuela de Medicina,2025.0,Síndrome de hipotensión intracraneal en paciente neurocrítico: reporte de caso. [Intracranial hypotension syndrome in neurocritical patient: a case report],"Arroyo, Antonio","Arroyo, Antonio","Arroyo, Antonio Reccius, Andrés",10.1093/icvts/ivaf004,True,2-s2.0-85217580314,2025.0
Facultad de Medicina y Salud,#012,Escuela de Medicina,2025.0,Síndrome vasopléjico inducido por protamina. La importancia del ECLS con ECMO y protocolo CALS en casos complejos. [Protamine induced vasoplegic syndrome. The importance of ECLS with ECMO and CALS protocol in complex cases],"Arroyo, Antonio","Arroyo, Antonio","Arroyo, Antonio Zamorano, Anibal",10.1016/j.rmclc.2025.04.003,True,2-s2.0-105003571817,2025.0
Facultad de Medicina y Salud,#013,Escuela de Medicina,2025.0,Impact of Teleworking on Work-Related and Home-Related Stress at During the First Global Lockdown-The International COVISTRESS Study,"Couarraze, Sébastien","Couarraze, Sébastien","Avilès Dorlhiac, Raimundo",10.1002/brb3.70592,True,2-s2.0-105008048845,2025.0
Facultad de Medicina y Salud,#014,Escuela de Medicina,2025.0,Management of alcohol use disorder: a gastroenterology and hepatology-focused perspective,"Díaz, Luis Antonio","Arab, Juan Pablo","Ayares, Gustavo",10.1016/s2468-1253(24)00380-7,True,2-s2.0-86000364846,2025.0
Facultad de Medicina y Salud,#015,Escuela de Medicina,2025.0,MetALD: New Perspectives on an Old Overlooked Disease,"Ayares, Gustavo","Arrese, Marco","Ayares, Gustavo",10.1111/liv.70017,True,2-s2.0-105002132315,2025.0
Facultad de Medicina y Salud,#016,Escuela de Medicina,2025.0,Neurogastroenterology and motility disorders in patients with cirrhosis,"Idalsoaga, Francisco","Díaz, Luis Antonio","Ayares, Gustavo",10.1097/hc9.0000000000000622,True,2-s2.0-85214533457,2025.0
